#,Equation,activationEnergy,chemicalComposition,facet,reactionEnergy,,,,,,,868,CH4(g) + 5* -> C* + 4H*,,Co6La6,101,-1.537149169
73724,CH4(g) + 5* -> C* + 4H*,,Ag9V3,111,1.466947473,,,,,,,45520,CH4(g) + 5* -> C* + 4H*,,Ag6Al6,101,4.944198106
70659,CH4(g) + 5* -> C* + 4H*,,Ag9W3,111,-0.635212477,,,,,,,45521,CH4(g) + 5* -> C* + 4H*,,Ir6Ru6,101,0.709157916
69894,CH4(g) + 5* -> C* + 4H*,,Ag9Y3,111,3.953999113,,,,,,,45546,CH4(g) + 5* -> C* + 4H*,,Ni6Pd6,101,1.15044384
63565,CH4(g) + 5* -> C* + 4H*,,Ag9Zn3,111,6.797049942,,,,,,,45547,CH4(g) + 5* -> C* + 4H*,,Pd6Re6,101,-0.785429384
71440,CH4(g) + 5* -> C* + 4H*,,Ag9Zr3,111,2.288710176,,,,,,,45548,CH4(g) + 5* -> C* + 4H*,,Rh6Sn6,101,4.891392783
62838,CH4(g) + 5* -> C* + 4H*,,Al12,111,3.997197865,,,,,,,45549,CH4(g) + 5* -> C* + 4H*,,Cd6Sn6,101,6.91745773
17437,CH4(g) + 5* -> C* + 4H*,,Al3Au9,111,7.530282449,,,,,,,45656,CH4(g) + 5* -> C* + 4H*,,Mn6Nb6,101,-2.195589828
71923,CH4(g) + 5* -> C* + 4H*,,Al3Cd9,111,5.006075568,,,,,,,45657,CH4(g) + 5* -> C* + 4H*,,Cr6Pt6,101,0.139692496
7016,CH4(g) + 5* -> C* + 4H*,,Al3Cr9,111,-2.279165512,,,,,,,45658,CH4(g) + 5* -> C* + 4H*,,Ag6W6,101,-1.327602874
16421,CH4(g) + 5* -> C* + 4H*,,Al3Cu9,111,3.956258338,,,,,,,45659,CH4(g) + 5* -> C* + 4H*,,Cd6In6,101,7.106008674
16898,CH4(g) + 5* -> C* + 4H*,,Al3Fe9,111,-0.307480066,,,,,,,45660,CH4(g) + 5* -> C* + 4H*,,Pd6W6,101,-1.017233503
78302,CH4(g) + 5* -> C* + 4H*,,Al3Ga9,111,4.443055029,,,,,,,45661,CH4(g) + 5* -> C* + 4H*,,Hf6Ru6,101,-1.592532091
12298,CH4(g) + 5* -> C* + 4H*,,Al3Hf9,111,-2.845427471,,,,,,,45662,CH4(g) + 5* -> C* + 4H*,,Cd6Nb6,101,-1.003023582
76826,CH4(g) + 5* -> C* + 4H*,,Al3In9,111,4.545610653,,,,,,,45685,CH4(g) + 5* -> C* + 4H*,,Ag6V6,101,-0.534675937
61148,CH4(g) + 5* -> C* + 4H*,,Al3Ir9,111,0.139599842,,,,,,,45731,CH4(g) + 5* -> C* + 4H*,,Cr6Fe6,101,-1.044931835
1263,CH4(g) + 5* -> C* + 4H*,,Al3La9,111,-0.765751335,,,,,,,45984,CH4(g) + 5* -> C* + 4H*,,Bi6Zr6,101,1.781895159
10829,CH4(g) + 5* -> C* + 4H*,,Al3Mo9,111,-2.103018332,,,,,,,46075,CH4(g) + 5* -> C* + 4H*,,Cd6Pd6,101,4.203932681
60534,CH4(g) + 5* -> C* + 4H*,,Al3Nb9,111,-2.726920941,,,,,,,46076,CH4(g) + 5* -> C* + 4H*,,Ir6Zn6,101,-0.247387398
60537,CH4(g) + 5* -> C* + 4H*,,Al3Os9,111,-0.26781512,,,,,,,46077,CH4(g) + 5* -> C* + 4H*,,Cu6Zr6,101,-2.513940569
81162,CH4(g) + 5* -> C* + 4H*,,Al3Pb9,111,5.843699108,,,,,,,46094,CH4(g) + 5* -> C* + 4H*,,Pb6Y6,101,0.956082857
17709,CH4(g) + 5* -> C* + 4H*,,Al3Pd9,111,2.289314813,,,,,,,46095,CH4(g) + 5* -> C* + 4H*,,Ag6Cd6,101,7.569756371
15816,CH4(g) + 5* -> C* + 4H*,,Al3Pt9,111,1.381720602,,,,,,,46201,CH4(g) + 5* -> C* + 4H*,,Al6Ni6,101,2.100162361
12709,CH4(g) + 5* -> C* + 4H*,,Al3Re9,111,-0.914055691,,,,,,,46202,CH4(g) + 5* -> C* + 4H*,,Al6V6,101,-0.559986198
45803,CH4(g) + 5* -> C* + 4H*,,Al3Rh9,111,0.187886578,,,,,,,46203,CH4(g) + 5* -> C* + 4H*,,Sc6Zr6,101,-2.576235182
15120,CH4(g) + 5* -> C* + 4H*,,Al3Ru9,111,-0.481651154,,,,,,,46204,CH4(g) + 5* -> C* + 4H*,,Al6Rh6,101,2.494460348
3723,CH4(g) + 5* -> C* + 4H*,,Al3Sc9,111,-2.639868459,,,,,,,46224,CH4(g) + 5* -> C* + 4H*,,Y6Zr6,101,-2.709273135
59867,CH4(g) + 5* -> C* + 4H*,,Al3Sn9,111,5.512496702,,,,,,,46225,CH4(g) + 5* -> C* + 4H*,,Ga6Re6,101,1.685263317
13166,CH4(g) + 5* -> C* + 4H*,,Al3Ta9,111,-3.124931513,,,,,,,46226,CH4(g) + 5* -> C* + 4H*,,Mo6Ta6,101,-2.245514281
