Catalyst,B.E.
Rh9Tc3,-0.175330838
Rh9Ta3,-0.671508789
Rh9Tc3,-0.229717822
Al3Ir9,1.720078242
Rh9Tc3,-0.102785832
Al3Ir9,1.537763602
La3Ru9,-0.470871637
Rh9Ru3,0.505401114
Ir3Rh9,0.782373682
Ni3Rh9,0.475698936
Ir3Rh9,0.561217785
Ni3Rh9,0.538339406
In3Ir9,1.641504146
Fe3Rh9,0.219304298
In3Ir9,3.520677689
Ru9Sc3,-1.046498122
Fe3Rh9,0.443091943
Fe3Rh9,0.256884852
Ru9Sc3,-1.001488588
Mn3Rh9,0.332798354
Mn3Rh9,0.100712597
Pd3Rh9,1.365077167
Ru9Zr3,-1.069209423
Ru9Zr3,-1.089893476
Ga3Ir9,1.136351336
Ga3Ir9,0.540023519
Ga3Ir9,0.85417187
Ag3Rh9,0.870650948
Hg3Rh9,0.389878858
Hg3Rh9,0.375304985
Rh9Sn3,0.779228862
Rh9Sn3,0.907025494
Rh9Sn3,1.110863657
Mn3Ni9,-0.265512221
Mn3Ni9,-0.167488109
Ni9Pt3,0.253939219
Ni9Pt3,0.691614873
Hf3Ru9,-1.083218524
Hf3Ru9,-1.148982044
Ni9Pd3,0.656446608
Ni9Pd3,0.578996887
Au3Ni9,0.212584447
Ru9Ti3,-0.98665403
Au3Ni9,0.039500589
Ag3Ni9,-0.10376068
Ag3Ni9,-0.167076672
Ru9Ti3,-1.174699795
Cu3Ni9,0.418982249
Cu3Ni9,0.027279548
Cu3Ni9,0.073450464
Cd3Ni9,-0.002937197
Ni9Zn3,0.103022435
Cd3Ni9,-0.0870367
In3Ni9,0.719692939
In3Ni9,0.52901352
Ni9Zn3,0.018411086
Ni9Sn3,0.733068695
Ni9Zn3,0.428376979
Ga3Ni9,0.474904636
Ru9Ta3,-0.933870204
Rh9Zn3,0.395051197
Ga3Ni9,0.334809275
Rh9Zn3,0.376103503
Rh9Zn3,0.823604098
Ga3Ni9,0.489928313
Ga12,0.133682726
Al3Ni9,-0.124418474
Al3Ni9,1.633701282
Al3Rh9,0.469443039
Al3Rh9,0.007319862
Cd3Co9,-0.166446729
Co9Hg3,-0.018296526
Al3Rh9,1.455449166
Ga12,0.358015688
Al3Co9,1.710041867
Ga12,1.678557752
Mn3Ru9,-0.569895087
Mn3Ru9,-0.539163639
Co9Zn3,-0.213693038
Co9Zn3,2.988164105
Co9In3,0.314255701
Co9In3,0.067037557
Ga3Rh9,0.645669267
Ga3Rh9,0.614207873
Ga3Rh9,0.794011038
Ag9Bi3,2.415539443
Ag9Co3,0.633356116
Ag9Nb3,2.644934947
Hf12,-3.730901957
Cr9Nb3,-1.002794462
Hf12,-3.325056547
Hf12,-0.749242053
Al9W3,-1.023852264
Al9W3,-0.992841899
In3Rh9,1.548664075
In3Rh9,0.625206035
In3Rh9,0.51595573
Rh9Tl3,0.650226358
Rh9Tl3,0.569259021
Pb3Rh9,0.803197465
Pb3Rh9,0.697998391
Al3Au9,0.302955765
Al3Au9,0.162841221
Au9Sn3,1.621677932
Au9Zn3,1.598630162
Au9Zn3,1.707500324
Au9Ga3,1.114266985
Au9Hg3,4.112371408
Au9Pb3,2.120028305
Au9Ir3,1.25415758
Au9Ir3,1.195283438
La12,-3.004750532
La12,-2.911750049
Bi12,0.936682228
Bi12,1.575983352
Bi12,0.992384339
Cd9Ga3,0.983341316
Al3Cu9,-0.086623767
Cd9Ga3,0.918623802
Al3Cu9,1.233398151
Cd9Pb3,0.810478959
Cu9Ga3,0.67506695
Cu9Ga3,0.719773349
Cu9Hg3,3.813815587
Cu9In3,2.992924872
Cu9Pb3,0.818368356
Cu9Pt3,2.430692783
Cu9Sn3,1.012237629
Cu9Sn3,1.077273109
Al3Fe9,-0.289308984
Al3Fe9,-0.382319399
Al3Fe9,-0.38651798
Cd3Fe9,-0.188101548
