,B.E.,Element1,Ratio,Element2,AN,AM,G,P,R,EN,M.P.,B.P.,H_FUS,DENSITY,IE,SE,AN',AM',G',P',R',EN',M.P.',B.P.',H_FUS',DENSITY',IE',SE'
58,-1.963998229,Mo,3.0,Rh,45.0,102.91,9.0,5.0,1.73,1.45,2237.0,3968.0,26.6,12.4,7.46,1.99,,,,,,,,,,,,
59,-1.44913871,Mo,3.0,Rh,45.0,102.91,9.0,5.0,1.73,1.45,2237.0,3968.0,26.6,12.4,7.46,1.99,,,,,,,,,,,,
60,-1.922453385,Mo,3.0,Ni,28.0,58.69,10.0,4.0,1.49,1.75,1728.0,3186.0,17.0,8.9,7.64,1.92,,,,,,,,,,,,
61,-1.444118346,Mo,3.0,Ni,28.0,58.69,10.0,4.0,1.49,1.75,1728.0,3186.0,17.0,8.9,7.64,1.92,,,,,,,,,,,,
62,-1.852608157,Mo,3.0,Fe,26.0,55.85,8.0,4.0,1.56,1.64,1811.0,3134.0,13.8,7.87,7.9,2.45,,,,,,,,,,,,
63,-0.8577805079999999,Mo,3.0,Fe,26.0,55.85,8.0,4.0,1.56,1.64,1811.0,3134.0,13.8,7.87,7.9,2.45,,,,,,,,,,,,
64,-1.85635326,Mo,3.0,Mn,,,,,,,,,,,,,,,,,,,,,,,,
65,-1.849761166,Mo,3.0,Fe,26.0,55.85,8.0,4.0,1.56,1.64,1811.0,3134.0,13.8,7.87,7.9,2.45,,,,,,,,,,,,
66,0.35037745200000003,Mo,3.0,Fe,26.0,55.85,8.0,4.0,1.56,1.64,1811.0,3134.0,13.8,7.87,7.9,2.45,,,,,,,,,,,,
67,-0.8460778440000001,Mo,3.0,Mn,,,,,,,,,,,,,,,,,,,,,,,,
68,-1.747040097,Mo,3.0,Fe,26.0,55.85,8.0,4.0,1.56,1.64,1811.0,3134.0,13.8,7.87,7.9,2.45,,,,,,,,,,,,
69,-1.890352524,Mo,3.0,Mn,,,,,,,,,,,,,,,,,,,,,,,,
70,-0.000286808,Mo,3.0,Mn,,,,,,,,,,,,,,,,,,,,,,,,
71,-1.91795616,Mo,3.0,Pt,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48,,,,,,,,,,,,
72,-1.956145976,Mo,3.0,Pt,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48,,,,,,,,,,,,
73,-0.9046398720000001,Mo,3.0,Pd,46.0,106.42,10.0,5.0,1.69,1.35,1828.0,3236.0,16.7,12.0,8.34,1.34,,,,,,,,,,,,
74,2.612903747,Mo,3.0,Pd,46.0,106.42,10.0,5.0,1.69,1.35,1828.0,3236.0,16.7,12.0,8.34,1.34,,,,,,,,,,,,
75,-0.8063324890000001,Mo,3.0,Au,79.0,196.97,11.0,6.0,1.74,1.42,1337.0,3129.0,12.7,19.3,9.23,0.74,,,,,,,,,,,,
76,2.9571284330000003,Mo,3.0,Au,79.0,196.97,11.0,6.0,1.74,1.42,1337.0,3129.0,12.7,19.3,9.23,0.74,,,,,,,,,,,,
77,3.0737357430000003,Mo,3.0,Ag,47.0,107.87,11.0,5.0,1.65,1.42,1235.0,2435.0,11.3,10.5,7.58,0.77,,,,,,,,,,,,
78,-0.774689187,Mo,3.0,Ag,47.0,107.87,11.0,5.0,1.65,1.42,1235.0,2435.0,11.3,10.5,7.58,0.77,,,,,,,,,,,,
79,-1.299442085,Mo,3.0,Cu,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,,,,,,,,,,,,
80,-1.9830512319999998,Mo,3.0,Cu,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,,,,,,,,,,,,
81,-1.814325006,Mo,3.0,Zn,30.0,65.38,12.0,4.0,1.42,1.66,693.0,1180.0,7.1,7.14,9.39,0.35,,,,,,,,,,,,
82,-1.974242091,Mo,3.0,Cu,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31,,,,,,,,,,,,
83,-1.4805690830000002,Mo,3.0,Hg,,,,,,,,,,,,,,,,,,,,,,,,
84,-1.843937114,Mo,3.0,Hg,,,,,,,,,,,,,,,,,,,,,,,,
85,-0.314597748,Mo,3.0,In,49.0,114.82,13.0,5.0,1.56,1.49,430.0,2345.0,3.3,7.31,5.79,0.3,,,,,,,,,,,,
86,3.467873455,Mo,3.0,In,49.0,114.82,13.0,5.0,1.56,1.49,430.0,2345.0,3.3,7.31,5.79,0.3,,,,,,,,,,,,
87,-1.326891432,Mo,3.0,In,49.0,114.82,13.0,5.0,1.56,1.49,430.0,2345.0,3.3,7.31,5.79,0.3,,,,,,,,,,,,
88,-1.375338444,Mo,3.0,Sn,50.0,118.71,14.0,5.0,1.45,1.72,505.0,2875.0,7.2,7.26,7.35,0.54,,,,,,,,,,,,
89,-2.185538759,W,3.0,La,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,57.0,138.91,4.0,6.0,1.95,1.08,1191.0,3737.0,6.2,6.15,5.58,0.7
90,-2.413114229,W,3.0,Zr,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,40.0,91.22,4.0,5.0,2.06,1.22,2128.0,4682.0,21.0,6.52,6.63,1.57
91,-1.6191060480000001,Mo,3.0,In,49.0,114.82,13.0,5.0,1.56,1.49,430.0,2345.0,3.3,7.31,5.79,0.3,,,,,,,,,,,,
92,-2.655684532,W,3.0,Ti,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,22.0,47.87,4.0,4.0,1.76,1.32,1941.0,3560.0,14.2,4.51,6.83,1.93
93,-2.586735511,W,3.0,Nb,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,41.0,92.91,5.0,5.0,1.98,1.23,2750.0,5017.0,30.0,8.57,6.76,2.07
94,-2.31568591,W,3.0,Cr,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,24.0,52.0,6.0,4.0,1.66,1.56,2180.0,2944.0,21.0,7.15,6.77,3.2
95,-1.838248846,W,3.0,Mo,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,,,,,,,,,,,,
